Name,UserName,Desc
Seth Gerson,SethPGerson,"Dir of Gov Relations Nat'l Bd for Professional Teaching Standards @nbpts; fmr ed advisor to @SenJackReed; Dad to 2 daughters; RTs ≠ endorsements, views my own"
Mahya Babaie,Babaie1,I am a secondary science instructor. I love to learn something new about science everyday.
Choices Magazine,Choices_Mag,The current health & life-skills resource for teens published by @Scholastic.
Vanessa BVD,VBVD2,SELF.
Paula Burdette,paula_burdette,"My passions are my family, K-12 education, and education reform, including how tech can change the world for students, particularly those with disabilities."
Sarah McKibben,Sarah_McKibben,Following the leaders down in NZ with Fulbright for the year. Learn along with me! Tweets are my own.
Anamarie Auger,ana_auger,PhD Candidate in Education - specializing in early childhood and parenting.
Jason Archard,JasonArchard,
Michael Gallagher,MikeSunnyvale,
Cindi McLaughlin,MsMcLaughlin11,
Karina Richland,LDSolutions,Founder of PRIDE Learning Centers.  I am a reading and learning disability specialist.
Amy Gerstein,argerstein,"community-based researcher, coalition builder, executive director of the john w. gardner center for youth and their communities, mother of twin boys"
Wooddell's Classroom,mrswooddell,6th Grade ELA teacher
PublicSchoolWORKS,PSWORKS,"the ONE AND ONLY comprehensive, fully automated, risk management system available for schools"
STAR Education,STAReducation,"STAR is a leader in afterschool programming and community cultural enrichment projects, connecting kids to resources needed to engage, learn & achieve for life!"
Anand Subramanian,asubramanian,Communications: @PolicyLink @AllianceforBMOC. Guitar/vocals: @FairAndKind. Board member: @SAALTweets & @OaklandAsianCC. @ChicagoSports nut. All opinions my own.
El Camino Real CHS,ECRCHS,"A charter high school located in Woodland Hills, CA. Recognized as a California Distinguished School. Proud champion of the 2014 U.S. Academic Decathlon."
OhioACRAO,OhioACRAO,Account for the Ohio Association of Collegiate Registrars and Admissions Officers which first organized in 1926.
ACCT,CCTrustees,"The Association of Community College Trustees (ACCT). Representing more than 6,500 elected and appointed trustees who govern more than 1,100 CTCs nationwide."
Kristen Marcucci,kristenmarcucci,
Shelly Radel,solutionwife,
MBotteFoundation,bottefoundation,Providing technology grants and professional development to K-12 schools in the Los Angeles area.
GoEagles,JGHSPrincipal,John Glenn High School
Jeff Schmidt,CTE_SantaClara,"CTE Coordinator, Santa Clara County Office of Education"
The Kildonan School,KildonanSchool,"Official Twitter feed for the Kildonan School, one of the nation’s premier independent schools for students with dyslexia."
StrategicEd Services,StrategicEdCA,Advocating for the rights of California's most at-risk students in K-14 education
Vanessa herrnandez,herna_vh,
Marie Williams,FSUSD2ndaryEd,
Preston Smith,prestondsmith,"CEO @RocketshipEd, Parent of 2 incredible kids, Pizza Expert, Go Dodgers! Views here are my own."
Rocketship Education,RocketshipEd,We're rethinking elementary school from the ground up to eliminate the achievement gap in our lifetime. Tweets ≠ endorsements. #RocketshipEd #BEYOND
Encinitas Teachers,EUSD_PLN,EUSD PLN (Professional Learning Network) is dedicated to sharing with EUSD teachers information about the latest trends in teaching and learning.
Educator's Edge,educatorsedge,"Local Horace Mann Agency, we provide world-class customer service to educators and their families with excellent insurance options at affordable rates."
.,TerriCotta1,.
Christina Simpson,cmsimpson24,"UCLA, Alpha Delta Pi alumna. Usually wearing J. Crew. And always wanting to eat dessert first."
Barbara Inatsugu,Munchiken,Public Education Advocate / dog & iguana rescue
Betty Buginas,bbuginas,
OpenSchoolbagSG,OpenSchoolbag,"The Ultimate Education Marketplace.. for Educators, Parents and Learners"
E.J. Rossi,Greyt_Hounds,
SunnysideHS Pathways,SHSRegion_CCR,The College & Career Ready Pathways information feed for the Sunnyside High School Region.
KQED Edspace,KQEDedspace,Official KQED Education Twitter feed providing educational resources for teaching and learning. Host of #KQEDDoNow activity.
Julie Bernstein,bernstein_julie,"Community Relations, Public Affairs; Organizing, Outreach and Engagement; Project Manager; Event Planner"
ImagineU Museum,imagineUmuseum,"ImagineU Interactive Children's Museum inspires children to learn and grow through fun activities, interactive experiences and hands-on exhibits."
Kelly Green,KinderKGreen,"EVP/GM Education Sales @Kindermusik .   
     Passionate about the power of Education, especially early education."
Livinglife,_thebattleiswon,Put God first in everything!
Heather Kays ,HeatherAKays,"Freelance writer/editor with 12+ years experience and an affinity for pizza, books and education news."
Caitlin Moran,CaitlinJMoran,"Digital journalist, outdoor enthusiast, Seattle native. Currently work at @seattletimes, where I help run @educationlab."
Education Lab,educationlab,Education Lab is an ongoing project from @seattletimes and @soljourno. Our objective is to spark meaningful conversations about local education solutions.
C Johnson,Cmhj09,
Stacey Rawson,staceyrawson3,"School counselor at Epiphany Prep Charter School interested in elementary school counseling, whole-child education and restorative justice."
ParentCitizen,parentcitizen,From the Kitchen Table to Capitol Hill... ParentCitizen is a national grassroots organization leveraging the political power of parents.
Tammy Gabel,GabelTammy,"Regional Director, Regional System of District and School Support, Region 11"
David Rattray,david_drattray,
SparkProgramLA,SparkProgramLA,What did you want to be when you were 13? We provide disadvantaged middle schoolers with one-to-one workplace apprenticeships to help them pursue their dreams!
Rose Filicetti,savgmom,"Powerful Catalyst and Social Justice Advocate for Education, Good Governance, Economic Vitality, and Public Service for Community Good - Check out Digital NEST,"
Alejandro A. Huerta,alejhuerta,"Public education advocate, observer of L.A./CA politics."
Anna Hasselblad,Anna4Health,"Health Advocate for children and families. Loves: laughter, data, cats, cooking and good reporting."
YEP_Birmingham,YEP_Birmingham,"Young Education Professionals-Birmingham is a professional networking group for K12 and higher education professionals in the Birmingham, Alabama area."
James choe,Choefamilydiary,
Williams Elementary,WEnchantress,
Ed Connections,EdconnectionsUS,"Ed Connections, LLC provides professional development, school improvement, strategic change and communication services in the  education industry."
Fawn Oliver,oliver_fawn,
Linda Frank,lindafrankbooks,"Novelist (AFTER THE AUCTION & soon a @LilyKovner caper in Shanghai) @HIPPYUSA Chair, mom of Beijing x-pat, Jewish popo. Swimmer. See you on Goodreads."
Kate Dimond,_K_G_D_,
ASPS,ASPS4,
Elizabeth Zamora,ezamoramejia,
Ingrid Gunnell,IngridGunnell,
Kevin Kate McQuhae,kevinkate23,Mom | Crossfitter | Ironman 70.3 Finisher
Vivienne Langen,vivlangen,"From Africa, nature lover and Subject co-ordinator Humanities, International School of Zug and Luzern"
Title I Guru,TitleIGuru,"Title I Pro looking to share ideas, thoughts and questions about Title I programs. Thoughts r mine not tech assist or legal advice. RT not endorsement"
Bryanna Norton,Mrs_Norton,Assistant Principal at Vista High School. Please check this page often for VHS & VUSD Updates!
Sharmila Kraft,SharmilaKraft,"Director Curriculum, Instruction & Assessment ELD 
Vista Unified School District"
Dr. Tami Capellino,Dr_Capi,
Mission Vista H.S.,MissionVistaHS,"Mission Vista High School encourages students to discover their passion, developing independent and innovative thinkers who continually strive for excellence."
Jeffrey Mrizek,jmrizek,
Argonne Elementary,ArgonneElem,Argonne Elementary - Where the seeds of WONDER and LEARNING flourish.
olanrewaju qudus,qudus123,"I am the third of my family and I live in isale eko and agege lagos,I like dancing,clubbing,meeting new friends amd I hate lies.. 08066561752 and !!. 288fe5c9"
CSUEB Concord,CSUEBConcord,"A scenic and beautiful Cal State campus in the heart of Contra Costa County. Majors in Nursing, Health Sciences, Business and more"
Maestro,FGIS_Maestro,Bilingual educator in two-way dual immersion school. 5th grade teacher and aspiring administrator. Product of LAUSD public schools and public higher ed. #UCLA
Ruth Perez,RperezRuth,
Roger Nguyen,CoachNguyen,Current: Assistant Principal // Previous: Curriculum Coach & Educator // Always: Lifelong Learner
Maya Smith,MayaLSmith,"Attorney, Yoga Teacher and Master of Arts Candidate in Special Education.  Volunteer and Board Member at Animal Assisted Therapy Services."
Kris Amundson,kjamundson,"Former teacher, school board member, and Virginia delegate. College hoops fan. Now at Ntl. Association of State Boards of Education . Opinions are my own."
CA Green Ribbon,CAGreenRibbon,California Green Ribbon Schools is an initiative of @TomTorlakson recognizing excellence in whole school sustainability. RTs/follows do not imply endorsement.
Jay Nitschke,JayNitschke,"schools Tech Director, sports fan, bridge player"
Danielle Miller,danipfg11,
BuildOurSchools,BuildCASchools,Coalition to pass a statewide school bond to build and modernize schools for kids. #PassAB2235
BellyB,BellyB11,Forever Cool and Mellow
33rd Pol,33rdPol,
would you rather,wouldurathersd,
Aurora Mendoza Perry,AuroraBmtusd,Beaumont USD Student Services Coordinator
Van Ton-Quinlivan,WorkforceVan,"Vice Chancellor, Workforce & Econ Dvlpmt @ CA Community Colleges – the largest workforce training system in US! Passionate about #wkdev #econdev #edtech"
GISELLA,griolsun,
C,nightoverday,
Childhood ,ChildhoodUSA,Our mission is to help children at risk of abuse and exploitation and to create a safe environment away from harm and neglect. http://t.co/Ze8sp8NBnU
peoplesdebatenetwork,peoplesdebaten1,People's Debate Network is an open forum of communication and opinion
Hector Camacho,HCamachoEDU,"Happy husband, father, teacher, and counselor trying to change the world, one person at a time. Trustee, San Mateo County Board of Education."
Real Life Work,RealLifeWork_,"This is not your typical bum in seat program. Study, Paid-Employment & Accommodation all included! #highered #workexperience #alberta #banff"
Rafe Edward Trickey,DrTrickey,"Dr. Rafe Edward Trickey, Jr., first in his family to receive a college degree, rose above his low-income, low-educational-attainment roots to change his stars."
Lindsay Arnett,lilred1300,"National Board Certified Teacher: EMC Literacy, Hopkins County Schools Gifted and Talented, KEA NBCT MidWest Jump Start Team"
Ednovate ,EdnovateSchools,"We believe in Positive Multigenerational Change through Deep Sense of Purpose, Learning Personalized & Mindsets by Design."
iLinkedLearning,iLinkedLearning,
Chris Lief,lieflet,Hunting and pecking for interesting nuggets.
Anita Abedian,AnitaAbedian,"Writer, educator, journalist. @UCLA Alum. Grad student @ColumbiaJourn. Reporter for @theUptowner. Born and raised in the Bay Area."
George Robertson,newssource,Software
Engineering is Elem.,EiE_org,"Award-winning STEM curriculum project of the Museum of Science, Boston. Innovative, supported by research, cross-curricular, and FUN."
Delta Tunnels Action,DeltaTunnels,Take action and talk to your Senator to stop the Delta Tunnels project. Visit http://t.co/td3DA7DyE4 to learn more.
jobdhamaka,jobdhamakacom6,Find latest jobs for fresher and experienced across top companies in India. Submit your cv for Free at #jobsdhamaka
Jackie,Jackie31885702,
tom gething,thomgething,"Dad, Learner, Teacher. 'I am always doing that which I cannot do, in order that I may learn' (Picasso). All views are my own."
Tim Coughlin,tcoughlin5,
Lyndsey Kaiser ,LyndsLK,
Eric Scroggins,e_scroggins,Avenger of social injustice of all kinds and Executive Director of @TFABayArea
SmartVoter,SmartVoter,Providing no spin election info from the state and local League of Women Voters around the U.S.  Managed by the LWV of California Education Fund.
xouhoa ,xouhoa,I believe in acts of love and kindness. I want to do good and teach my son through my example. Every day. I'm using twitter to hold myself accountable. :)
Reasoning Mind,reasoningmind,"Changing the future of math education through an engaging, animated learning environment, world-class curriculum, and teacher professional development. #EdChat"
Trish Anderson,AndersonTrish,
ESA,sdedsynergy,"ESA will improve the education of SD County’s kids by connecting change agents in our community to the partners, ideas, info and resources they need to succeed."
Tami Pearson,tamster63,
Megan,MeganStariha,
Feykena,feykena,Transforming any mobile phone into a tool for learning and discovery
LACOE ,lacoeinfo,
Live in California,liveincalitv,Everyone wants to #liveincalifornia. We're here to remind you why. #California #ManhattanBeach #Palosverdes #Hermosa #RedondoBeach #LuxuryRealEstate #RealEstate
